,Date,Home Team,Away Team,Home Score,Away Score,Total Score Open,Name,Location,Surface,Roof type
0,2020-10-04,San Francisco 49ers,Philadelphia Eagles,20,25,43.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
1,2020-09-27,New York Giants,San Francisco 49ers,9,36,42.5,MetLife Stadium,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf[30],Open
2,2020-09-20,New York Jets,San Francisco 49ers,13,31,43.5,MetLife Stadium,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf[30],Open
3,2020-09-13,San Francisco 49ers,Arizona Cardinals,20,24,46.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
4,2020-02-02,Kansas City Chiefs,San Francisco 49ers,31,20,53.0,Arrowhead Stadium,"Kansas City, Missouri",Bermuda grass,Open
5,2020-01-19,San Francisco 49ers,Green Bay Packers,37,20,45.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
6,2020-01-11,San Francisco 49ers,Minnesota Vikings,27,10,45.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
7,2019-12-29,Seattle Seahawks,San Francisco 49ers,21,26,48.0,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
8,2019-12-21,San Francisco 49ers,Los Angeles Rams,34,31,46.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
9,2019-12-15,San Francisco 49ers,Atlanta Falcons,22,29,46.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
10,2019-12-08,New Orleans Saints,San Francisco 49ers,46,48,45.5,Mercedes-Benz Superdome,"New Orleans, Louisiana",FieldTurf Revolution 360[9],Fixed
11,2019-12-01,Baltimore Ravens,San Francisco 49ers,20,17,46.0,M&T Bank Stadium,"Baltimore, Maryland",Bermuda grass[25],Open
12,2019-11-24,San Francisco 49ers,Green Bay Packers,37,8,46.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
13,2019-11-17,San Francisco 49ers,Arizona Cardinals,36,26,45.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
14,2019-11-11,San Francisco 49ers,Seattle Seahawks,24,27,44.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
15,2019-10-31,Arizona Cardinals,San Francisco 49ers,25,28,44.0,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
16,2019-10-27,San Francisco 49ers,Carolina Panthers,51,13,41.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
17,2019-10-20,Washington Football Team,San Francisco 49ers,0,9,42.5,FedExField,"Landover, Maryland",Bermuda grass,Open
18,2019-10-13,Los Angeles Rams,San Francisco 49ers,7,20,48.5,SoFi Stadium,"Inglewood, California",Hellas Matrix Turf,Fixed
19,2019-10-07,San Francisco 49ers,Cleveland Browns,31,3,47.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
20,2019-09-22,San Francisco 49ers,Pittsburgh Steelers,24,20,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
21,2019-09-15,Cincinnati Bengals,San Francisco 49ers,17,41,45.0,Paul Brown Stadium,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open
22,2019-09-08,Tampa Bay Buccaneers,San Francisco 49ers,17,31,49.5,Raymond James Stadium,"Tampa, Florida",Bermuda grass,Open
23,2018-12-30,Los Angeles Rams,San Francisco 49ers,48,32,50.5,SoFi Stadium,"Inglewood, California",Hellas Matrix Turf,Fixed
24,2018-12-23,San Francisco 49ers,Chicago Bears,9,14,43.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
25,2018-12-16,San Francisco 49ers,Seattle Seahawks,26,23,44.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
26,2018-12-09,San Francisco 49ers,Denver Broncos,20,14,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
27,2018-12-02,Seattle Seahawks,San Francisco 49ers,43,16,46.0,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
28,2018-11-25,Tampa Bay Buccaneers,San Francisco 49ers,27,9,55.0,Raymond James Stadium,"Tampa, Florida",Bermuda grass,Open
29,2018-11-12,San Francisco 49ers,New York Giants,23,27,43.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
30,2018-11-01,San Francisco 49ers,Oakland Raiders,34,3,47.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
31,2018-10-28,Arizona Cardinals,San Francisco 49ers,18,15,43.5,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
32,2018-10-21,San Francisco 49ers,Los Angeles Rams,10,39,52.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
33,2018-10-15,Green Bay Packers,San Francisco 49ers,33,30,46.5,Lambeau Field,"Green Bay, Wisconsin",Desso GrassMaster[19],Open
34,2018-10-07,San Francisco 49ers,Arizona Cardinals,18,28,41.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
35,2018-09-30,Los Angeles Chargers,San Francisco 49ers,29,27,47.0,SoFi Stadium,"Inglewood, California",Hellas Matrix Turf,Fixed
36,2018-09-23,Kansas City Chiefs,San Francisco 49ers,38,27,55.0,Arrowhead Stadium,"Kansas City, Missouri",Bermuda grass,Open
37,2018-09-16,San Francisco 49ers,Detroit Lions,30,27,47.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
38,2018-09-09,Minnesota Vikings,San Francisco 49ers,24,16,46.0,U.S. Bank Stadium,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf[41],Fixed
39,2017-12-31,Los Angeles Rams,San Francisco 49ers,13,34,44.0,SoFi Stadium,"Inglewood, California",Hellas Matrix Turf,Fixed
40,2017-12-24,San Francisco 49ers,Jacksonville Jaguars,44,33,42.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
41,2017-12-17,San Francisco 49ers,Tennessee Titans,25,23,45.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
42,2017-12-10,Houston Texans,San Francisco 49ers,16,26,42.5,NRG Stadium,"Houston, Texas",Hellas Matrix Turf[33],Retractable
43,2017-12-03,Chicago Bears,San Francisco 49ers,14,15,39.5,Soldier Field,"Chicago, Illinois",Kentucky bluegrass,Open
44,2017-11-26,San Francisco 49ers,Seattle Seahawks,13,24,42.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
45,2017-11-12,San Francisco 49ers,New York Giants,31,21,42.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
46,2017-11-05,San Francisco 49ers,Arizona Cardinals,10,20,39.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
47,2017-10-29,Philadelphia Eagles,San Francisco 49ers,33,10,47.5,Lincoln Financial Field,"Philadelphia, Pennsylvania",Desso GrassMaster[22],Open
48,2017-10-22,San Francisco 49ers,Dallas Cowboys,10,40,47.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
49,2017-10-15,Washington Football Team,San Francisco 49ers,26,24,46.5,FedExField,"Landover, Maryland",Bermuda grass,Open
50,2017-10-08,Indianapolis Colts,San Francisco 49ers,26,23,43.0,Lucas Oil Stadium,"Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable
51,2017-10-01,Arizona Cardinals,San Francisco 49ers,18,15,44.5,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
52,2017-09-21,San Francisco 49ers,Los Angeles Rams,39,41,41.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
53,2017-09-17,Seattle Seahawks,San Francisco 49ers,12,9,43.0,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
54,2017-09-10,San Francisco 49ers,Carolina Panthers,3,23,48.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
55,2017-01-01,San Francisco 49ers,Seattle Seahawks,23,25,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
56,2016-12-24,Los Angeles Rams,San Francisco 49ers,21,22,41.0,SoFi Stadium,"Inglewood, California",Hellas Matrix Turf,Fixed
57,2016-12-18,Atlanta Falcons,San Francisco 49ers,41,13,52.0,Mercedes-Benz Stadium,"Atlanta, Georgia",FieldTurf Revolution[27],Retractable
58,2016-12-11,San Francisco 49ers,New York Jets,17,23,44.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
59,2016-12-04,Chicago Bears,San Francisco 49ers,26,6,42.5,Soldier Field,"Chicago, Illinois",Kentucky bluegrass,Open
60,2016-11-27,Miami Dolphins,San Francisco 49ers,31,24,45.5,Hard Rock Stadium,"Miami Gardens, Florida",Platinum TE Paspalum,Open
61,2016-11-20,San Francisco 49ers,New England Patriots,17,30,51.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
62,2016-11-13,Arizona Cardinals,San Francisco 49ers,23,20,48.0,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
63,2016-11-06,San Francisco 49ers,New Orleans Saints,23,41,51.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
64,2016-10-23,San Francisco 49ers,Tampa Bay Buccaneers,17,34,47.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
65,2016-10-16,Buffalo Bills,San Francisco 49ers,45,16,44.0,Bills Stadium,"Orchard Park, New York",A-Turf Titan 50[8],Open
66,2016-10-06,San Francisco 49ers,Arizona Cardinals,21,33,42.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
67,2016-10-02,San Francisco 49ers,Dallas Cowboys,17,24,46.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
68,2016-09-25,Seattle Seahawks,San Francisco 49ers,37,18,40.5,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
69,2016-09-18,Carolina Panthers,San Francisco 49ers,46,27,44.5,Bank of America Stadium,"Charlotte, North Carolina",Bermuda grass,Open
70,2016-09-12,San Francisco 49ers,Los Angeles Rams,28,0,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
71,2016-01-03,San Francisco 49ers,St. Louis Rams,19,16,37.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
72,2015-12-27,Detroit Lions,San Francisco 49ers,32,17,43.0,Ford Field,"Detroit, Michigan",FieldTurf Classic HD[9],Fixed
73,2015-12-20,San Francisco 49ers,Cincinnati Bengals,14,24,42.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
74,2015-12-13,Cleveland Browns,San Francisco 49ers,24,10,40.5,FirstEnergy Stadium,"Cleveland, Ohio",Kentucky bluegrass,Open
75,2015-12-06,Chicago Bears,San Francisco 49ers,20,26,41.5,Soldier Field,"Chicago, Illinois",Kentucky bluegrass,Open
76,2015-11-29,San Francisco 49ers,Arizona Cardinals,13,19,44.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
77,2015-11-22,Seattle Seahawks,San Francisco 49ers,29,13,40.5,CenturyLink Field,"Seattle, Washington",FieldTurf Revolution 360[9],Open
78,2015-11-08,San Francisco 49ers,Atlanta Falcons,17,16,45.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
79,2015-11-01,St. Louis Rams,San Francisco 49ers,27,6,39.5,,,,
80,2015-10-22,San Francisco 49ers,Seattle Seahawks,3,20,41.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
81,2015-10-18,San Francisco 49ers,Baltimore Ravens,25,20,44.0,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
82,2015-10-11,New York Giants,San Francisco 49ers,30,27,43.0,MetLife Stadium,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf[30],Open
83,2015-10-04,San Francisco 49ers,Green Bay Packers,3,17,47.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
84,2015-09-27,Arizona Cardinals,San Francisco 49ers,47,7,44.0,State Farm Stadium,"Glendale, Arizona",Bermuda grass,Retractable
85,2015-09-20,Pittsburgh Steelers,San Francisco 49ers,43,18,44.0,Heinz Field,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open
86,2015-09-14,San Francisco 49ers,Minnesota Vikings,20,3,41.5,Levi's Stadium,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open
